2.2317,10,465,600,7,20,450,20
20.837,10,500,475,3,24,450,20
3.9848,10,595,450,9.8,14,450,20
1.2791,10,560,475,5,18,450,20
39.41,10,310,750,9.8,22,450,20
3.3897,10,280,175,6,22,450,20
4.7954,10,295,225,7,12,450,20
15.591,10,270,350,3,22,450,20
13.869,10,145,325,8,12,450,20
1.0746,10,455,550,3,16,450,20
4.8536,10,505,50,2,24,450,20
26.783,10,385,525,8,24,450,20
1.7209,10,580,225,5,20,450,20
21.525,10,460,650,3,22,450,20
0.61904,10,590,200,4,22,450,20
27.97,10,465,700,9.8,14,450,20
6.0425,10,155,450,3,16,450,20
30.058,10,155,600,9.8,18,450,20
11.909,10,415,100,9.8,12,450,20
1.1855,10,525,275,8,14,450,20
2.1696,10,305,125,4,12,450,20
2.0512,10,580,475,7,18,450,20
24.939,10,495,650,8,24,450,20
5.0155,10,335,725,2,14,450,20
2.014,10,375,625,3,14,450,20
37.293,10,60,700,3,22,450,20
25.598,10,485,675,2,22,450,20
2.2273,10,300,275,6,18,450,20
14.151,10,535,550,9.8,16,450,20
3.5683,10,465,475,8,20,450,20
8.524,10,390,425,8,18,450,20
23.041,10,140,700,6,16,450,20
3.2052,10,245,775,6,20,450,20
11.016,10,360,300,3,22,450,20
7.9104,10,585,575,9.8,14,450,20
1.5439,10,145,175,2,18,450,20
2.215,10,545,700,4,16,450,20
8.0633,10,560,675,8,16,450,20
46.368,10,155,425,9.8,16,450,20
14.12,10,375,675,6,14,450,20
1.4582,10,520,375,7,16,450,20
0.21632,10,430,275,7,22,450,20
4.996,10,140,675,2,12,450,20
2.0882,10,540,700,5,12,450,20
45.679,10,230,800,6,24,450,20
10.366,10,450,800,6,16,450,20
8.1003,10,330,725,9.8,20,450,20
7.8333,10,550,325,2,22,450,20
29.166,10,105,575,9.8,22,450,20
13.678,10,285,600,4,20,450,20
2.2074,10,195,375,5,20,450,20
10.697,10,160,125,5,18,450,20
30.435,10,290,500,9.8,16,450,20
10.978,10,205,775,6,12,450,20
11.67,10,125,725,2,14,450,20
6.5369,10,405,500,7,18,450,20
4.4036,10,395,200,7,18,450,20
5.4415,10,245,525,5,20,450,20
11.418,10,325,225,8,18,450,20
1.3476,10,180,800,4,16,450,20
4.1055,10,350,350,8,20,450,20
6.1393,10,310,475,4,18,450,20
5.637,10,590,725,3,20,450,20
0.82388,10,125,675,5,12,450,20
1.6098,10,585,475,4,18,450,20
2.1304,10,550,300,8,12,450,20
2.1353,10,490,350,2,18,450,20
12.12,10,520,750,6,22,450,20
3.0913,10,405,200,7,22,450,20
44.372,10,65,700,2,22,450,20
25.667,10,210,525,2,20,450,20
18.019,10,100,325,2,22,450,20
17.673,10,180,325,7,18,450,20
4.7128,10,375,475,5,20,450,20
35.64,10,195,575,8,18,450,20
2.7446,10,335,375,3,14,450,20
6.7511,10,340,175,8,22,450,20
13.824,10,260,750,6,12,450,20
8.9408,10,570,700,2,20,450,20
3.7968,10,265,225,6,14,450,20
2.3436,10,285,525,4,12,450,20
20.994,10,575,575,3,24,450,20
1.7238,10,405,375,2,12,450,20
25.426,10,160,475,5,24,450,20
2.2393,10,125,125,9.8,24,450,20
3.864,10,150,250,3,20,450,20
8.2466,10,165,100,4,18,450,20
13.439,10,375,425,8,14,450,20
0.50323,10,80,300,6,12,450,20
38.446,10,260,625,4,24,450,20
19.048,10,75,750,4,20,450,20
6.6105,10,200,525,4,18,450,20
12.59,10,140,550,4,20,450,20
1.4798,10,490,200,6,18,450,20
9.3087,10,360,75,7,22,450,20
19.443,10,380,775,7,12,450,20
1.383,10,565,250,5,20,450,20
3.0152,10,215,175,2,16,450,20
40.967,10,85,450,8,16,450,20
2.2372,10,160,675,4,14,450,20
22.372,10,590,800,2,22,450,20
8.5643,10,340,425,6,22,450,20
19.516,10,135,375,9.8,12,450,20
33.483,10,65,125,8,16,450,20
3.6659,10,515,625,2,18,450,20
6.6905,10,185,550,4,18,450,20
1.5324,10,485,75,5,14,450,20
0.84246,10,90,700,7,12,450,20
0.60856,10,595,525,8,14,450,20
25.565,10,300,450,4,24,450,20
28.968,10,280,575,9.8,12,450,20
11.114,10,470,225,9.8,18,450,20
16.671,10,290,725,6,18,450,20
7.4251,10,520,225,9.8,16,450,20
2.3813,10,325,425,6,12,450,20
61.989,10,155,775,2,24,450,20
1.0968,10,500,225,7,12,450,20
6.2143,10,240,500,8,20,450,20
9.5949,10,275,450,7,22,450,20
0.41776,10,220,325,5,12,450,20
8.3526,10,525,150,2,24,450,20
32.096,10,355,625,8,16,450,20
4.1585,10,370,550,4,18,450,20
11.377,10,505,50,9.8,20,450,20
17.643,10,470,525,6,24,450,20
20.085,10,560,700,2,22,450,20
33.13,10,160,750,8,14,450,20
2.1607,10,460,400,4,14,450,20
6.4462,10,60,750,5,12,450,20
27.554,10,450,625,8,24,450,20
1.7804,10,295,150,4,20,450,20
14.938,10,260,100,9.8,22,450,20
7.4653,10,315,225,3,22,450,20
1.6267,10,590,600,3,14,450,20
10.413,10,415,750,4,20,450,20
4.6137,10,335,375,4,18,450,20
1.484,10,485,475,5,20,450,20
7.9914,10,435,300,6,24,450,20
1.4518,10,570,525,4,12,450,20
2.5561,10,250,275,3,18,450,20
23.795,10,525,700,6,24,450,20
18.205,10,150,750,9.8,18,450,20
43.882,10,465,800,9.8,24,450,20
40.69,10,335,525,9.8,24,450,20
1.6551,10,320,150,4,14,450,20
0.59537,10,435,775,5,12,450,20
21.251,10,235,525,9.8,12,450,20
1.6876,10,595,500,6,18,450,20
11.212,10,490,200,2,24,450,20
5.0432,10,420,75,7,14,450,20
8.3147,10,450,650,6,16,450,20
2.6478,10,355,225,7,14,450,20
6.0764,10,70,625,4,16,450,20
12.705,10,310,575,6,14,450,20
24.413,10,340,750,7,12,450,20
